State_Code,County_Code,State_Abbrv,County_Name,Return_Num,Exmpt_Num,AGI,Wages_Salaries,Dividends,Interest
1,0,AL,ALABAMA,1805986,4015521,85675848,66414232,972819,1905459
1,1,AL,Autauga County,20661,47850,1028586,827346,5986,14723
1,3,AL,Baldwin County,71119,153164,3591479,2588096,59019,111651
1,5,AL,Barbour County,9387,20645,329779,254236,4477,9083
1,7,AL,Bibb County,7289,17180,295961,239309,1053,4304
1,9,AL,Blount County,19903,48069,878493,702993,4681,17371
1,11,AL,Bullock County,3377,7556,100011,82502,1092,1971
1,13,AL,Butler County,7777,17230,273323,203267,2204,6198
1,15,AL,Calhoun County,44955,98961,1928914,1480617,17897,41312
1,17,AL,Chambers County,13217,28765,435207,353779,4325,8096
1,19,AL,Cherokee County,8636,19443,328420,251169,2501,9173
1,21,AL,Chilton County,15452,36896,637212,511467,3246,11441
1,23,AL,Choctaw County,4990,11376,204987,162619,981,4938
1,25,AL,Clarke County,9682,22779,397234,310960,4721,8903
1,27,AL,Clay County,5187,11971,179848,150506,1139,3897
1,29,AL,Cleburne County,5088,12032,204680,163716,677,3515
1,31,AL,Coffee County,18632,41511,895843,691202,12576,20101
1,33,AL,Colbert County,21596,46931,939467,700132,8498,19951
1,35,AL,Conecuh County,4705,10480,162238,118418,744,3868
1,37,AL,Coosa County,4015,8837,145371,115793,832,2798
1,39,AL,Covington County,13733,30294,538377,423660,5260,14000
1,41,AL,Crenshaw County,5186,11603,189403,153544,1495,4266
1,43,AL,Cullman County,29527,68055,1239944,968911,7932,36704
1,45,AL,Dale County,18720,41863,790023,622265,3677,12652
1,47,AL,Dallas County,16289,36656,516076,405779,5901,10352
1,49,AL,DeKalb County,24447,58435,876466,713751,8361,20120
1,51,AL,Elmore County,31332,70502,1540065,1206877,8785,23809
1,53,AL,Escambia County,13229,29994,496308,383247,4101,10369
1,55,AL,Etowah County,38184,84877,1582166,1219070,12458,37391
1,57,AL,Fayette County,5971,13613,224667,180812,1261,6525
1,59,AL,Franklin County,11685,30055,420265,334829,2406,10232
1,61,AL,Geneva County,9474,20913,352400,276444,2128,9363
1,63,AL,Greene County,3170,7275,105490,74443,7216,2109
1,65,AL,Hale County,6049,13982,208449,167114,3611,5029
1,67,AL,Henry County,6354,14159,306341,208322,1745,6808
1,69,AL,Houston County,39455,87134,1847301,1441847,19721,54792
1,71,AL,Jackson County,19566,43782,779743,609684,6009,18964
1,73,AL,Jefferson County,262154,564401,13841533,10696590,255033,336215
1,75,AL,Lamar County,5165,11737,180842,143688,970,4956
1,77,AL,Lauderdale County,34209,74060,1571504,1149831,16579,42744
1,79,AL,Lawrence County,12630,28775,517240,418356,2133,7570
1,81,AL,Lee County,48520,106463,2364401,1844010,31106,47164
1,83,AL,Limestone County,30802,71311,1651091,1293236,9283,25327
1,85,AL,Lowndes County,4900,11263,151651,119929,664,2429
1,87,AL,Macon County,8125,16946,255264,204418,856,3248
1,89,AL,Madison County,135631,294728,8631657,6675226,84536,169496
1,91,AL,Marengo County,7731,17948,305768,241084,3565,7491
1,93,AL,Marion County,10078,23004,368864,287499,3297,11824
1,95,AL,Marshall County,34583,82875,1429478,1085695,11628,36973
1,97,AL,Mobile County,158269,347799,7087575,5537793,66483,139014
1,99,AL,Monroe County,8028,19045,314334,245923,3799,6690
1,101,AL,Montgomery County,95269,202155,4391336,3318610,66441,96507
1,103,AL,Morgan County,46687,107679,2256308,1703682,23253,45269
1,105,AL,Perry County,3826,8891,106612,82374,727,2928
1,107,AL,Pickens County,7216,16446,260166,204599,3059,5780
1,109,AL,Pike County,11148,23769,427068,333463,4091,12143
1,111,AL,Randolph County,8017,18343,281745,222596,2750,7925
1,113,AL,Russell County,20913,45013,701160,577190,4515,8749
1,115,AL,St. Clair County,30041,68148,1427087,1169613,8805,22494
1,117,AL,Shelby County,73308,170023,5177707,4142950,61192,113889
1,119,AL,Sumter County,4706,10327,146999,115373,1011,2717
1,121,AL,Talladega County,29244,65450,1159493,918272,7509,21099
1,123,AL,Tallapoosa County,16035,37277,637346,480601,6176,17698
1,125,AL,Tuscaloosa County,67991,147582,3331009,2549404,40162,79119
1,127,AL,Walker County,23653,54729,1021030,796822,6998,22144
1,129,AL,Washington County,6290,14850,266437,217033,3202,5939
1,131,AL,Wilcox County,4339,10401,130572,98805,1815,2697
1,133,AL,Winston County,8439,19215,312033,240839,2460,10442
